row,tf,tp,conf,rr,sess,lv,pf,corr,same_trades,is_pass,oos_pass,oos_days,risk,capped
15379,5min,opposite_level,immediate_break,1.0,05:00-11:30,S2,4.8,0.25,0.42,95.7,92.1,11,500,30.1
7199,3min,opposite_level,reversal_cross_back,2.5,03:00-12:30,S2,4.25,0.26,0.57,96.8,98.4,17,500,57.2
17819,5min,reversal_to_open,immediate_break,1.25,03:00-12:30,S,5.58,0.26,0.64,96.3,98.4,11,500,79.8
641,3min,opposite_level,break_of_structure,3.0,05:00-10:30,S2,3.89,0.27,0.23,90.4,77.8,16,500,29.5
15052,3min,reversal_to_open,close_beyond,1.5,03:00-14:00,S,4.51,0.27,0.65,95.2,94.4,15,500,69.1
42610,3min,reversal_to_open,immediate_break,2.0,03:00-13:00,S,4.19,0.27,0.59,93.6,96.0,15,500,80.5
3394,3min,opposite_level,reversal_cross_back,2.5,03:00-12:30,S,4.81,0.27,0.76,98.4,96.8,17,500,52.0
44440,3min,opposite_level,reversal_cross_back,1.0,03:00-14:00,S,5.61,0.27,0.78,98.9,97.6,17,500,40.5
44885,3min,reversal_to_open,close_beyond,2.5,03:00-10:30,S2,4.15,0.27,0.55,93.6,92.9,15,500,75.3
7514,5min,opposite_level,close_beyond,2.0,03:00-12:30,S,4.43,0.28,0.51,93.6,88.9,15,500,80.3
8786,5min,opposite_level,reversal_cross_back,1.25,03:00-12:30,S,5.07,0.28,0.66,100.0,97.6,19,500,33.8
26676,5min,reversal_to_open,close_beyond,1.25,03:00-10:30,S2,4.69,0.28,0.63,90.4,91.3,12,1000,91.2
27715,5min,opposite_level,close_beyond,4.0,03:00-11:00,S,5.44,0.29,0.74,92.5,92.9,10,500,56.9
28214,3min,opposite_level,reversal_cross_back,3.0,03:00-11:30,S2,5.97,0.29,0.68,99.5,98.4,15,500,71.4
44105,5min,opposite_level,break_of_structure,3.0,03:00-13:00,S,5.71,0.29,0.35,94.7,88.9,11,500,24.8
37472,5min,reversal_to_open,immediate_break,4.0,03:00-14:00,S,4.76,0.29,0.68,93.0,94.4,15,750,77.1
8747,5min,opposite_level,reversal_cross_back,2.5,03:00-15:00,S2,4.46,0.3,0.53,97.3,97.6,12,500,48.3
28336,5min,opposite_level,immediate_break,4.0,05:00-10:30,S,5.13,0.3,0.49,97.3,94.4,15,500,32.1
41868,5min,opposite_level,close_beyond,3.0,05:00-12:30,S,4.1,0.3,0.4,93.6,83.3,11,500,41.5
5893,5min,opposite_level,reversal_cross_back,2.5,03:00-12:30,S2,4.58,0.31,0.6,98.4,96.0,16,500,28.1
41823,5min,opposite_level,break_of_structure,2.5,03:00-15:00,S2,5.81,0.31,0.32,98.9,95.2,10,500,10.7
