size,assets,labels,avg_pairwise_corr,risk_multiplier_k,pass_pct,still_going_pct,median_days_to_pass,n_cohorts,per_asset_risk_pct,margin_cap_frac,n_trades_total,n_trades_rejected,pct_trades_rejected
2,EURUSD+GBPUSD,EURUSD/3min ss=180 (local_rank=5) | GBPUSD/1min ss=300 (local_rank=6),0.103,0.1361,52.1,0.3,11,313,"{'EURUSD': 2.155, 'GBPUSD': 1.099}",0.8,6886,3321,48.2
2,EURUSD+XAUUSD,EURUSD/3min ss=180 (local_rank=5) | XAUUSD/1min ss=300 (local_rank=6),0.048,0.2862,51.8,0.3,25,313,"{'EURUSD': 4.532, 'XAUUSD': 3.239}",0.8,5289,4260,80.5
2,EURUSD+XAUUSD,EURUSD/3min ss=180 (local_rank=5) | XAUUSD/1min ss=420 (local_rank=5),-0.003,0.1435,48.9,0.0,11,313,"{'EURUSD': 2.272, 'XAUUSD': 1.545}",0.8,6252,2928,46.8
2,EURUSD+GER40,EURUSD/3min ss=180 (local_rank=5) | GER40/1min ss=420 (local_rank=6),0.024,0.2581,50.6,1.0,19,312,"{'EURUSD': 4.088, 'GER40': 3.99}",0.8,4305,3037,70.5
2,GER40+NDX100,NDX100/5min ss=300 (local_rank=5) | GER40/1min ss=300 (local_rank=5),0.106,0.1585,50.8,1.0,19,313,"{'NDX100': 4.577, 'GER40': 2.785}",0.8,1817,686,37.8
2,NDX100+SPX500,NDX100/5min ss=300 (local_rank=5) | SPX500/3min ss=180 (local_rank=6),0.044,0.1607,52.7,0.6,24,319,"{'NDX100': 4.64, 'SPX500': 2.363}",0.8,1809,1065,58.9
2,GBPUSD+NDX100,NDX100/5min ss=300 (local_rank=5) | GBPUSD/3min ss=180 (local_rank=7),0.009,0.1649,50.8,1.0,18,313,"{'NDX100': 4.762, 'GBPUSD': 2.906}",0.8,1905,818,42.9
2,NDX100+US30,NDX100/5min ss=300 (local_rank=5) | US30/5min ss=180 (local_rank=4),0.041,0.1205,47.6,0.6,16,313,"{'NDX100': 3.48, 'US30': 2.296}",0.8,3748,1927,51.4
2,EURUSD+NDX100,NDX100/5min ss=300 (local_rank=5) | EURUSD/5min ss=300 (local_rank=6),-0.041,0.0886,50.8,0.3,11,313,"{'NDX100': 2.559, 'EURUSD': 4.649}",0.8,4401,1920,43.6
2,NDX100+US30,NDX100/5min ss=300 (local_rank=5) | US30/5min ss=420 (local_rank=9),0.028,0.1224,50.2,0.6,16,313,"{'NDX100': 3.536, 'US30': 2.323}",0.8,3114,1449,46.5
2,NDX100+XAUUSD,NDX100/5min ss=300 (local_rank=5) | XAUUSD/5min ss=180 (local_rank=6),-0.043,0.1335,47.6,0.3,16,313,"{'NDX100': 3.857, 'XAUUSD': 7.287}",0.8,4690,2964,63.2
2,NDX100+NDX100,NDX100/5min ss=300 (local_rank=5) | NDX100/3min ss=420 (local_rank=6),0.102,0.0983,57.8,0.3,15,313,{'NDX100': 1.393},0.8,3926,1147,29.2
2,NDX100+US30,NDX100/5min ss=300 (local_rank=5) | US30/1min ss=300 (local_rank=3),0.049,0.1444,52.7,0.0,22,313,"{'NDX100': 4.171, 'US30': 0.558}",0.8,1887,509,27.0
2,GBPUSD+NDX100,NDX100/5min ss=300 (local_rank=5) | GBPUSD/1min ss=300 (local_rank=6),-0.031,0.1164,50.2,0.6,12,313,"{'NDX100': 3.361, 'GBPUSD': 0.94}",0.8,4664,1452,31.1
2,NDX100+XAUUSD,NDX100/5min ss=300 (local_rank=5) | XAUUSD/1min ss=300 (local_rank=6),0.011,0.1581,52.1,0.6,22,313,"{'NDX100': 4.565, 'XAUUSD': 1.789}",0.8,3067,1589,51.8
2,NDX100+XAUUSD,NDX100/5min ss=300 (local_rank=5) | XAUUSD/1min ss=420 (local_rank=5),-0.02,0.1159,47.9,0.3,15,313,"{'NDX100': 3.347, 'XAUUSD': 1.248}",0.8,4030,1199,29.8
2,GER40+NDX100,NDX100/5min ss=300 (local_rank=5) | GER40/1min ss=420 (local_rank=6),0.009,0.1471,48.2,0.0,19,313,"{'NDX100': 4.247, 'GER40': 2.273}",0.8,2083,624,30.0
2,GER40+SPX500,GER40/1min ss=300 (local_rank=5) | SPX500/3min ss=180 (local_rank=6),0.002,0.2439,52.7,2.5,47,319,"{'GER40': 4.285, 'SPX500': 3.588}",0.8,2176,1638,75.3
2,GBPUSD+GER40,GER40/1min ss=300 (local_rank=5) | GBPUSD/3min ss=180 (local_rank=7),0.016,0.2502,48.9,1.6,26,313,"{'GER40': 4.395, 'GBPUSD': 4.409}",0.8,2272,1488,65.5
2,GER40+US30,GER40/1min ss=300 (local_rank=5) | US30/5min ss=180 (local_rank=4),-0.01,0.1228,47.3,0.6,15,313,"{'GER40': 2.157, 'US30': 2.339}",0.8,4115,2098,51.0
