asset,entry_timeframe,atr_window,include_secondary_levels,include_session_levels,allow_level_rearm,confirmation_mode,close_beyond_lookback_bars,wick_atr_mult,reversal_lookback_bars,reversal_requires_close,bos_lookback_bars,bos_mode,bos_confirm_atr_mult,require_rsi_confirm,rsi_period,rsi_mode,rsi_ob,rsi_os,sl_atr_buffer_mult,sl_extend_to_next_level,sl_extend_check_atr_mult,tp_mode,rr,session_start_minutes,session_end_minutes,max_trades_per_day,skip_weekday,n_trades,win_rate_pct,profit_factor,total_r,expectancy_r,max_dd_r,eod_frac,avg_profit_factor,min_profit_factor,periods_evaluated,periods_passed,consistency,calmar,score,period_pfs
FDXM,5min,30,False,True,False,close_beyond,1,0.5,1,False,5,raw_wick,0.2,False,14,overbought_oversold,65,30,0.2,False,0.5,fixed_rr,2.5,420,900,2,4,1112,42.0,1.115,103.05,0.0927,57.54,0.0081,1.14,0.82,5,4,0.8,1.791,4.6017,"[1.1, 1.033, 1.502, 1.244, 0.82]"
6E,3min,20,False,True,False,reversal_cross_back,1,0.5,3,False,30,fractal,0.3,False,14,overbought_oversold,65,30,0.1,False,1.0,fixed_rr,2.0,180,660,2,3,1215,41.32,0.602,-505.08,-0.4157,504.17,0.0214,0.625,0.402,5,0,0.0,-1.002,0.0,"[0.598, 0.58, 0.905, 0.64, 0.402]"
FDXM,3min,20,True,False,True,reversal_cross_back,5,1.0,20,False,8,fractal,0.3,False,14,overbought_oversold,80,25,1.0,True,0.5,fixed_rr,1.0,180,840,5,0,2847,63.15,1.404,462.16,0.1623,20.2,0.019,1.408,1.262,5,5,1.0,22.879,10.0384,"[1.322, 1.459, 1.506, 1.493, 1.262]"
FDXM,5min,14,True,True,True,break_of_structure,1,0.75,13,True,8,fractal,0.2,False,14,overbought_oversold,70,25,0.3,True,0.5,reversal_to_open,1.5,300,900,5,4,2445,45.73,2.532,1370.25,0.5604,22.5,0.0278,2.52,2.231,5,5,1.0,60.9,17.4067,"[2.231, 3.106, 2.487, 2.275, 2.499]"
6E,5min,14,False,False,True,break_of_structure,2,0.75,8,True,3,fractal,0.0,False,21,overbought_oversold,65,25,0.2,False,0.5,reversal_to_open,1.0,180,900,999,-1,873,41.24,1.971,506.17,0.5798,26.91,0.0195,1.981,1.363,5,5,1.0,18.81,9.2317,"[2.794, 1.363, 2.066, 2.194, 1.49]"
MNQ,5min,30,True,True,True,break_of_structure,1,0.5,20,True,20,raw_wick,0.5,False,21,cross_50,65,30,0.3,True,0.5,fixed_rr,1.0,420,900,2,3,1434,60.39,1.462,255.76,0.1784,23.65,0.0635,1.467,1.362,5,5,1.0,10.814,9.9003,"[1.451, 1.387, 1.474, 1.362, 1.661]"
MNQ,5min,20,False,True,True,break_of_structure,1,0.5,3,True,20,raw_wick,0.3,False,21,overbought_oversold,75,30,0.2,True,1.0,opposite_level,3.0,420,960,5,3,3311,53.64,1.994,1479.54,0.4469,49.9,0.1036,1.998,1.754,5,5,1.0,29.65,14.2167,"[1.922, 1.754, 2.341, 2.032, 1.94]"
FDXM,3min,30,True,False,True,close_beyond,1,1.0,20,True,3,fractal,0.1,False,7,overbought_oversold,75,25,0.3,False,1.0,fixed_rr,3.0,420,690,3,-1,1620,38.89,1.19,258.6,0.1596,49.4,0.0167,1.217,0.947,5,4,0.8,5.235,5.5993,"[1.507, 1.237, 1.15, 1.245, 0.947]"
MNQ,5min,14,False,True,False,immediate_break,1,0.5,8,True,5,fractal,0.0,False,7,overbought_oversold,70,25,0.2,True,1.0,opposite_level,1.0,420,750,3,-1,2587,29.88,2.604,3437.53,1.3288,70.6,0.0445,2.614,2.102,5,5,1.0,48.69,16.5189,"[3.104, 2.592, 2.102, 2.506, 2.768]"
MNQ,5min,20,True,True,False,close_beyond,1,0.75,1,False,30,fractal,0.5,False,21,cross_50,70,25,0.2,True,0.5,reversal_to_open,1.0,570,900,3,-1,2064,19.86,0.764,-444.37,-0.2153,504.76,0.0097,0.763,0.617,5,0,0.0,-0.88,0.0,"[0.617, 0.766, 0.795, 0.885, 0.754]"
