asset,entry_timeframe,atr_window,include_secondary_levels,include_session_levels,allow_level_rearm,confirmation_mode,close_beyond_lookback_bars,wick_atr_mult,reversal_lookback_bars,reversal_requires_close,bos_lookback_bars,bos_mode,bos_confirm_atr_mult,require_rsi_confirm,rsi_period,rsi_mode,rsi_ob,rsi_os,sl_atr_buffer_mult,sl_extend_to_next_level,sl_extend_check_atr_mult,tp_mode,rr,session_start_minutes,session_end_minutes,max_trades_per_day,skip_weekday,n_trades,win_rate_pct,profit_factor,total_r,expectancy_r,max_dd_r,eod_frac,avg_profit_factor,min_profit_factor,periods_evaluated,periods_passed,consistency,calmar,score,period_pfs
6J,5min,20,False,True,False,break_of_structure,2,1.0,3,True,3,raw_wick,0.0,False,21,overbought_oversold,75,25,0.1,False,2.0,opposite_level,3.0,300,750,5,3,822,45.5,2.575,877.13,1.0671,36.24,0.1679,2.703,1.422,5,5,1.0,24.203,9.5458,"[2.115, 4.322, 2.681, 1.422, 2.974]"
6J,5min,14,True,True,False,break_of_structure,5,0.75,5,True,3,raw_wick,0.5,False,21,cross_50,75,25,0.3,False,1.5,opposite_level,1.5,180,750,2,2,626,56.55,3.07,640.37,1.023,37.08,0.1262,3.152,2.309,5,5,1.0,17.27,14.8721,"[3.313, 2.437, 4.375, 2.309, 3.325]"
6J,3min,20,False,True,False,break_of_structure,3,1.5,3,True,3,fractal,0.1,False,14,overbought_oversold,70,30,1.0,False,0.5,reversal_to_open,3.0,180,840,5,1,602,47.67,3.031,729.01,1.211,32.57,0.0017,3.089,2.144,5,5,1.0,22.383,13.7257,"[2.144, 3.32, 4.304, 2.549, 3.126]"
6J,3min,30,False,True,True,immediate_break,2,1.5,2,False,8,fractal,0.2,False,7,cross_50,70,35,0.75,True,1.0,opposite_level,4.0,570,840,3,4,1834,32.61,0.738,-404.81,-0.2207,473.47,0.1794,0.745,0.433,5,0,0.0,-0.855,0.0,"[0.916, 0.974, 0.433, 0.798, 0.602]"
6J,3min,14,False,False,True,immediate_break,3,0.75,2,True,30,fractal,0.1,False,7,overbought_oversold,80,20,0.1,True,1.0,fixed_rr,1.25,300,750,3,3,1233,29.76,0.117,-1993.38,-1.6167,1994.4,0.0195,0.128,0.075,5,0,0.0,-0.999,0.0,"[0.083, 0.094, 0.2, 0.186, 0.075]"
6J,3min,14,True,True,True,close_beyond,5,2.0,13,True,3,raw_wick,0.3,True,7,overbought_oversold,75,30,0.3,True,1.0,opposite_level,1.25,420,660,2,4,964,29.98,1.239,287.68,0.2984,73.6,0.1338,1.269,0.944,5,4,0.8,3.909,5.1898,"[1.115, 1.037, 1.797, 0.944, 1.454]"
6J,5min,14,True,False,True,close_beyond,5,0.75,13,False,3,fractal,0.2,True,14,overbought_oversold,65,25,0.1,False,1.0,reversal_to_open,1.25,180,660,2,4,394,26.4,0.963,-23.51,-0.0597,107.46,0.0558,0.939,0.448,5,3,0.6,-0.219,1.6071,"[0.448, 1.304, 0.534, 1.036, 1.375]"
6J,3min,30,True,True,False,reversal_cross_back,3,0.5,8,False,30,raw_wick,0.1,True,14,overbought_oversold,65,30,0.75,True,1.0,reversal_to_open,4.0,300,690,3,-1,1057,47.87,1.483,320.79,0.3035,43.95,0.0965,1.48,1.293,5,5,1.0,7.299,9.0046,"[1.293, 1.666, 1.479, 1.519, 1.441]"
6J,5min,14,False,False,True,close_beyond,3,0.75,8,True,30,raw_wick,0.5,False,14,cross_50,65,25,1.0,True,1.0,opposite_level,1.25,300,900,2,4,843,45.55,1.388,221.47,0.2627,26.23,0.1388,1.393,0.97,5,4,0.8,8.443,5.2288,"[1.46, 1.402, 0.97, 1.433, 1.701]"
6J,5min,14,False,True,True,immediate_break,3,1.5,5,True,13,raw_wick,0.5,True,7,overbought_oversold,75,25,0.5,True,1.5,fixed_rr,1.0,300,660,3,0,857,56.36,0.784,-92.51,-0.1079,95.37,0.1155,0.788,0.733,5,0,0.0,-0.97,0.0,"[0.767, 0.741, 0.899, 0.8, 0.733]"
